Subject,Session,Word
1,1,apple
1,1,bus
1,1,music
1,1,girl
1,1,frog
1,1,crab
1,1,music
1,1,yellow
1,1,wash
1,1,bag
1,1,...
1,1,snake
1,1,bird
1,1,mud
1,1,bowl
1,1,green
1,1,club
1,1,tent
1,1,...
1,1,uncle
1,1,petal
1,1,dad
1,1,cheek
1,1,...
1,1,grill
1,1,fork
1,1,honey
1,1,plate
1,1,mouse
1,1,fence
1,1,movie
1,1,...
1,1,goat
1,1,...
1,1,apple
1,1,bus
1,1,music
1,1,frog
1,1,girl
1,1,wash
1,1,bag
1,1,yellow
1,1,smile
1,1,drink
1,1,...
1,1,stick
1,1,bowl
1,1,mud
1,1,pool
1,1,...
1,1,uncle
1,1,petal
1,1,dad
1,1,...
