Subject,Session,Round,Word,Points,Cumulative Score,Acc
1,1,1,apple,1,1,1
1,1,1,bus,1,2,1
1,1,1,music,4,6,1
1,1,1,girl,1,7,1
1,1,1,frog,5,12,1
1,1,1,crab,2,14,1
1,1,1,wash,10,24,1
1,1,1,bag,3,27,1
1,1,1,luck,4,23,0
1,1,1,owl,1,22,0
1,1,1,smile,0,22,0
1,1,1,drink,4,18,0
1,1,2,snake,10,28,1
1,1,2,bird,10,38,1
1,1,2,mud,4,42,1
1,1,2,bowl,10,52,1
1,1,2,green,10,62,1
1,1,2,club,0,62,1
1,1,2,tent,0,62,1
1,1,2,stick,10,52,0
1,1,2,pool,10,42,0
1,1,2,door,5,37,0
1,1,2,skate,0,37,0
1,1,2,oven,0,37,0
1,1,3,uncle,10,47,1
1,1,3,petal,10,57,1
1,1,3,dad,10,67,1
1,1,3,cheek,10,77,1
1,1,3,skull,0,77,0
1,1,3,straw,10,67,0
1,1,3,tool,10,57,0
1,1,3,park,0,57,0
1,1,3,egg,10,47,0
1,1,3,home,10,37,0
1,1,3,lion,10,27,0
1,1,3,juice,10,17,0
1,1,4,grill,9,26,1
1,1,4,fork,9,35,1
1,1,4,honey,10,45,1
1,1,4,plate,10,55,1
1,1,4,mouse,10,65,1
1,1,4,fence,10,75,1
1,1,4,movie,10,85,1
1,1,4,aunt,10,75,0
1,1,4,knee,1,74,0
1,1,4,metal,8,66,0
1,1,4,snow,10,56,0
1,1,4,rifle,0,56,0
1,1,5,goat,2,58,1
1,1,5,nose,2,56,0
1,1,5,hen,0,56,0
1,1,5,city,0,56,0
1,1,5,fairy,0,56,0
1,1,5,frost,0,56,0
1,1,5,lady,0,56,0
1,1,5,kick,0,56,0
1,1,5,seat,0,56,0
1,1,5,cream,0,56,0
1,1,5,gas,0,56,0
1,1,5,rain,0,56,0
1,1,1,apple,1,1,1
1,1,1,bus,1,2,1
1,1,1,music,4,6,1
1,1,1,frog,5,11,1
1,1,1,girl,1,12,1
1,1,1,wash,10,22,1
1,1,1,bag,3,25,1
1,1,1,smile,0,25,1
1,1,1,drink,4,29,1
1,1,1,luck,4,25,0
1,1,1,owl,1,24,0
1,1,1,crab,2,22,0
1,1,2,stick,10,32,1
1,1,2,bowl,10,42,1
1,1,2,mud,4,46,1
1,1,2,pool,10,56,1
1,1,2,door,5,51,0
1,1,2,snake,10,41,0
1,1,2,green,10,31,0
1,1,2,bird,10,21,0
1,1,2,club,0,21,0
1,1,2,tent,0,21,0
1,1,2,skate,0,21,0
1,1,2,oven,0,21,0
1,1,3,uncle,10,31,1
1,1,3,petal,10,41,1
1,1,3,dad,10,51,1
1,1,3,skull,0,51,0
1,1,3,straw,10,41,0
1,1,3,cheek,10,31,0
1,1,3,tool,10,21,0
1,1,3,park,0,21,0
1,1,3,egg,10,11,0
1,1,3,home,10,1,0
1,1,3,lion,10,-9,0
1,1,3,juice,10,-19,0
